work_id,name,artist_id,style,museum_id
160228,Still Life with Flowers and a Watch,615,Baroque,43.0
160236,Still Life with Fruit and a Beaker on a Cock's Foot,615,Baroque,43.0
160244,Still Life with Fruit and a Goldfinch,615,Baroque,43.0
160252,Still Life with Fruit and Oysters,615,Baroque,43.0
160260,"Still Life with Fruit, Oysters, and a Porcelain Bowl",615,Baroque,43.0
160268,The Overturned Bouquet,615,Baroque,43.0
23448,Horses at the Porch,757,Baroque,34.0
135892,Madame de Genlis,621,Neo-Classicism,60.0
31780,Portrait of Madame Labille-Guyard and Her Pupils,621,Neo-Classicism,35.0
31778,Portrait of the Painter Vincent,621,Neo-Classicism,40.0
147815,Portrait de la Famille de l'Artiste Posant Devant le Cha^teau de Juilly,616,Unknown,46.0
147786,"Portrait of Auguste Vestris, French Dancer",616,Unknown,47.0
24536,George Washington,837,Unknown,35.0
122215,Portrait of the Queen,837,Unknown,62.0
122224,Queen Marie Antoinette of France and Two of Her Children,837,Unknown,35.0
194065,"Barend Klijn Barendsz, Poet",569,Unknown,43.0
194074,"Cornelis Sebille Roos, Amsterdam Art Dealer and Keeper of the Nationale Konst-Gallery in Huis ten Bosch, The Hague",569,Unknown,43.0
194148,General Daendels Taking Leave of Lieutenant-Colonel Krayenhoff,569,Unknown,43.0
194130,"Jonkheer Gysbert Carel Rutger Reinier van Brienen van Ramerus, with his Wife and four of their Children",569,Unknown,43.0
194121,Morning Visit,569,Unknown,43.0
194083,"Portrait of Albertus Henricus Wiese, Governor-General of the Dutch East Indies",569,Unknown,43.0
194092,"Portrait of Gerrit Verdooren, Vice-admiral",569,Unknown,43.0
194101,Portrait of Hendrick de Hartog,569,Unknown,43.0
194155,Portrait of the Family of Adrianus Bonebakker with Dirk L. Bennewitz,569,Unknown,43.0
194110,"Portrait of Wilhelmina Maria Haack, fourth Wife of Gerrit Verdooren",569,Unknown,43.0
194162,The Art Gallery of Jan Gildemeester Jansz,569,Unknown,43.0
194169,The Art Gallery of Josephus Augustinus Brentano,569,Unknown,43.0
194176,The Drawing Gallery of the Felix Meritis Society,569,Unknown,43.0
194181,The Sculpture Gallery of the Felix Meritis Society,569,Unknown,43.0
194139,Woman Baking Pancakes,569,Unknown,43.0
160324,Portrait of a Man,597,Renaissance,43.0
160332,William of Orange,597,Renaissance,43.0
24025,"A Distant View of Dordrecht, with a Milkmaid and Four Cows",592,Baroque,46.0
24029,A Herdsman with Seven Cows by a River,592,Baroque,47.0
24033,A View of the Maas at Dordrecht,592,Baroque,55.0
24041,Cattle with Horseman and Peasants,592,Baroque,47.0
24043,Children and a Cow,592,Baroque,35.0
24047,Lady and Gentleman on Horseback,592,Baroque,46.0
24051,Landscape with Cows and Young Herdsman,592,Baroque,43.0
24053,Landscape with Herdsman and Cattle,592,Baroque,43.0
24059,Mountainous Landscape with the Ruins of a Castle,592,Baroque,43.0
24061,Piping Shepherds,592,Baroque,35.0
24064,River Landscape with Cows,592,Baroque,43.0
24066,River Landscape with Riders,592,Baroque,43.0
24068,River Scene,592,Baroque,43.0
164850,Senior Merchant,592,Baroque,43.0
24072,Starting for the Hunt,592,Baroque,35.0
198873,The Flight into Egypt,592,Baroque,60.0
24074,The Maas at Dordrecht,592,Baroque,46.0
204794,Travelers in Hilly Countryside,592,Baroque,53.0
164862,View of Dordrecht at Sunset,592,Baroque,43.0
198863,View of the Maas near Dordrecht,592,Baroque,60.0
24084,Young Herdsmen with Cows,592,Baroque,35.0
29914,Bouquet of Roses and Fruit,659,Expressionism,35.0
29916,"Compote of Peaches and Pears, with Pitchers, on a Table",659,Expressionism,35.0
29918,Renoir and His Model,659,Expressionism,35.0
29922,Still Life with Fruit and Brioche,659,Expressionism,35.0
29924,Table Setting with Fruit,659,Expressionism,35.0
5109,"Canadian Rockies, Lake Louise",712,American Landscape,35.0
25863,Christ Among the Doctors,548,Renaissance,56.0
25869,Lot and His Daughters,548,Renaissance,46.0
25871,Madonna and Child (Haller Madonna),548,Renaissance,46.0
25873,Penitent Saint Jerome,548,Renaissance,47.0
25875,Portrait of a Clergyman,548,Renaissance,46.0
25879,"Portrait of a Woman, Said to Be Caritas Pirckheimer",548,Renaissance,35.0
25888,Portrait of Durer's Father at 70,548,Renaissance,47.0
25904,Self-Portrait with Gloves,548,Renaissance,50.0
25906,St. Anne with the Virgin and Child,548,Renaissance,35.0
25908,The Virgin and Child (The Madonna with the Iris),548,Renaissance,47.0
23542,Birth of Venus,501,Classicism,49.0
23544,Echo,501,Classicism,35.0
23556,Portrait of Catharine Lorillard Wolfe,501,Classicism,35.0
23562,The Governess,501,Classicism,67.0
195399,Figure on Bench,534,Avant-Garde,51.0
195446,Hills,534,Avant-Garde,51.0
195410,Landscape with House,534,Avant-Garde,51.0
195421,Still Life,534,Avant-Garde,51.0
6877,A Corner of Wood in the Sablons,573,Impressionism,49.0
208485,A Turn in the Road,573,Impressionism,68.0
208575,Banks of the Loing River,573,Impressionism,67.0
6727,Boat in the Flood at Port Marly,573,Impressionism,49.0
208553,Bridge at Moret-sur-Loing,573,Impressionism,67.0
6735,Farmyard in Saint-Mammès,573,Impressionism,49.0
6743,Flood at Port-Marly,573,Impressionism,56.0
6747,"Foggy Morning, Voisins",573,Impressionism,49.0
6749,Footbridge at Argenteuil,573,Impressionism,49.0
208530,Landscape along the Seine with the Institut de France and the Pont des Arts,573,Impressionism,68.0
6771,Landscape (Spring at Bougival),573,Impressionism,67.0
185555,Along the Maine Coast,610,American Landscape,60.0
21110,Archers,823,Cubism,30.0
24423,The Leap of the Rabbit,800,Cubism,68.0
25499,Bouquet of Flowers on a Ledge,777,Rococo,60.0
25501,Flower Still Life,777,Rococo,55.0
6893,A Reclining Nude,831,Expressionism,36.0
6895,"Adrienne, Woman with Bangs",831,Expressionism,46.0
6909,Boy in a Striped Sweater,831,Expressionism,35.0
197821,Boy in Sailor Suit,831,Expressionism,51.0
6927,Boy in the Blue Jacket,831,Expressionism,61.0
6913,Bride and Groom (The Newlyweds),831,Expressionism,30.0
6915,Cafe´ Singer,831,Expressionism,46.0
6917,Chaim Soutine,831,Expressionism,46.0
197866,Cypresses and Houses at Cagnes,831,Expressionism,51.0
6925,Flower Vendor,831,Expressionism,35.0
6929,Girl in a Green Blouse,831,Expressionism,46.0
6931,Girl with Polka-Dot Blouse,831,Expressionism,51.0
6933,Gypsy Woman with Baby (Jacques Villon),831,Expressionism,46.0
6935,Jacques and Berthe Lipchitz,831,Expressionism,68.0
6937,Jeanne Hebuterne,831,Expressionism,61.0
29636,Hugo Reisinger,855,Realism,46.0
29682,Portrait of Frieda Schiff,855,Realism,35.0
182134,"Bateau sur La Seine, Environs de Paris",694,Fauvism,31.0
25595,Charing Cross Bridge,694,Fauvism,49.0
25597,"Fishing Boats, Collioure",694,Fauvism,35.0
25599,Girl in Black,694,Fauvism,34.0
25601,Landscape with a Boat at the Bank,694,Fauvism,34.0
25603,Martigues Harbour in Province,694,Fauvism,34.0
25605,Moise Kisling,694,Fauvism,35.0
25607,Mountain Road,694,Fauvism,34.0
182244,Paysage aux Environs de Chatou,694,Fauvism,36.0
