work_id,subject
160228,Still-Life
160236,Still-Life
160244,Still-Life
160252,Still-Life
160260,Still-Life
160268,Still-Life
23448,Horses
135892,Portraits
31778,Portraits
147815,Portraits
147786,Dancers
147786,Portraits
24536,Portraits
24536,U.S. Presidents
122215,Portraits
122224,Portraits
194065,Portraits
194074,Portraits
194148,Portraits
194130,Portraits
194121,Portraits
194083,Portraits
194092,Portraits
194101,Portraits
194155,Portraits
194110,Portraits
194162,Portraits
194169,Portraits
194139,Portraits
160324,Portraits
160332,Portraits
24029,Rivers/Lakes
24041,Horses
24047,Horses
24064,Rivers/Lakes
24066,Rivers/Lakes
24068,Rivers/Lakes
204794,Rivers/Lakes
29914,Flowers
29922,Still-Life
5109,Landscape Art
5109,Rivers/Lakes
25863,Jesus Christ
25871,Christianity
25873,Christianity
25875,Portraits
25879,Portraits
25888,Portraits
25904,Portraits
25906,Christianity
25908,Christianity
23542,Nude
23544,Nude
23556,Portraits
208575,Rivers/Lakes
6727,Rivers/Lakes
208553,Rivers/Lakes
6743,Rivers/Lakes
6747,Winter
6749,Bridges
6771,Spring
185555,Landscape Art
25499,Flowers
25501,Flowers
25501,Still-Life
6893,Nude
6915,Cafes/Bars
29682,Portraits
25595,Bridges
25595,Churches/Temples/Mosques
156969,Christianity
122099,Still-Life
122110,Still-Life
122066,Musics
31776,Portraits
27994,Portraits
27996,Portraits
27998,Portraits
28000,Portraits
28002,Portraits
28004,Portraits
28006,Portraits
28008,Portraits
27984,Portraits
28012,Portraits
28014,Portraits
28016,Portraits
28018,Portraits
28022,Portraits
23041,Spring
30148,Autumn/Fall
31660,Deers
31676,Dogs
29726,Summer
29748,Rivers/Lakes
193587,Portraits
193596,Portraits
193603,Portraits
193617,Portraits
193610,Portraits
193629,Portraits
193638,Portraits
193674,Portraits
193683,Portraits
193647,Portraits
193656,Portraits
193665,Portraits
27595,Dogs
27597,Christianity
27597,Jesus Christ
199604,Christianity
27603,Christianity
122879,Portraits
27169,Portraits
27171,Portraits
27173,Nude
27131,Christianity
27131,Jesus Christ
6020,Landscape Art
6020,Rivers/Lakes
6024,Bridges
6034,Architectures
6036,Winter
6042,Rivers/Lakes
6044,Nude
6050,Architectures
6050,Autumn/Fall
6058,Winter
6062,Bridges
6062,Rivers/Lakes
24161,Architectures
24167,Architectures
24167,Rivers/Lakes
24171,Architectures
24185,Architectures
198595,Architectures
198595,Rivers/Lakes
24235,Architectures
24237,Architectures
119288,Architectures
119288,Rivers/Lakes
119325,Architectures
119325,Churches/Temples/Mosques
119238,Architectures
119238,Rivers/Lakes
23488,Christianity
23863,Christianity
23512,Christianity
26231,Portraits
19135,Spring
19141,Lovers
25539,Portraits
197889,Flowers
23207,Marine Art/Maritime
23209,Marine Art/Maritime
23211,Marine Art/Maritime
23213,Marine Art/Maritime
23213,Seascapes
23215,Marine Art/Maritime
23217,Marine Art/Maritime
23219,Marine Art/Maritime
23221,Marine Art/Maritime
124301,Flowers
124356,Flowers
124356,Water Lilies
122759,Portraits
122748,Flowers
196198,Abstract/Modern Art
196210,Abstract/Modern Art
28185,Portraits
28193,Portraits
28201,Portraits
28201,U.S. Presidents
28207,Portraits
28211,Portraits
28219,Portraits
28223,Portraits
28227,Portraits
28229,Portraits
28231,Portraits
28233,Portraits
28237,Portraits
19888,Gardens
19894,Seascapes
25545,Jesus Christ
25549,Christianity
25553,Christianity
204763,Christianity
29346,Seascapes
26926,Architectures
26952,Architectures
26962,Architectures
26964,Architectures
26978,Architectures
2020,Autumn/Fall
2024,Autumn/Fall
2024,Gardens
208139,Still-Life
2040,Rivers/Lakes
2044,Rivers/Lakes
2050,Water Lilies
2060,Flowers
2062,Bridges
2062,Rivers/Lakes
2064,Water Lilies
2068,Seascapes
2074,Gardens
2076,Gardens
2082,Rivers/Lakes
2084,Bridges
2084,Rivers/Lakes
2080,Bridges
2080,Rivers/Lakes
2092,Flowers
2098,Seascapes
2098,Spring
208300,Seascapes
2100,Seascapes
2104,Rivers/Lakes
198264,Dogs
2146,Summer
2152,Winter
208110,Rivers/Lakes
2160,Summer
2168,Seascapes
2386,Gardens
2386,Seascapes
2396,Seascapes
29270,Flowers
29270,Gardens
125273,Winter
125498,Seascapes
125306,Winter
125471,Autumn/Fall
125471,Landscape Art
125471,Winter
160753,Landscape Art
160388,Landscape Art
160396,Landscape Art
193949,Lovers
193949,Musics
193880,Gardens
193889,Lovers
5636,Nude
5648,Christianity
5648,Jesus Christ
5650,Horses
5676,Portraits
5714,Portraits
5718,Horses
5768,Christianity
5768,Jesus Christ
28935,Marine Art/Maritime
28937,Marine Art/Maritime
28939,Marine Art/Maritime
28941,Marine Art/Maritime
28943,Marine Art/Maritime
28945,Marine Art/Maritime
28947,Marine Art/Maritime
28951,Marine Art/Maritime
28949,Marine Art/Maritime
28953,Churches/Temples/Mosques
28953,Marine Art/Maritime
28955,Marine Art/Maritime
28957,Marine Art/Maritime
2709,Flowers
2713,Nude
2728,Dancers
2732,Dancers
2734,Dancers
2740,Dancers
2742,Dancers
2744,Nude
195004,Nude
2856,Horses
2760,Dancers
2758,Dancers
139499,Portraits
5271,Horses
122518,Flowers
122518,Still-Life
7113,Dogs
7133,Lovers
7145,Cafes/Bars
7147,Rivers/Lakes
7149,Flowers
7167,Jesus Christ
20424,Churches/Temples/Mosques
22637,Summer
24515,Marine Art/Maritime
24517,Marine Art/Maritime
24519,Marine Art/Maritime
29183,Architectures
29183,Rivers/Lakes
198405,Christianity
18963,Jesus Christ
18965,Christianity
18965,Jesus Christ
18969,Christianity
18969,Jesus Christ
18971,Jesus Christ
204878,Christianity
204878,Jesus Christ
198417,Christianity
18993,Portraits
31808,Portraits
206649,Portraits
121922,Portraits
121931,Portraits
121913,Portraits
121940,Portraits
31812,Portraits
31814,Portraits
23001,Portraits
199708,Rivers/Lakes
25643,Flowers
25647,Jesus Christ
25649,Jesus Christ
25663,Horses
206174,Portraits
25682,Horses
25692,Portraits
25696,Flowers
25696,Still-Life
17850,Seascapes
17852,Seascapes
17864,Seascapes
17872,Rivers/Lakes
17880,Seascapes
17888,Rivers/Lakes
17890,Rivers/Lakes
20357,Musics
208746,Still-Life
20376,Still-Life
20388,Flowers
20388,Still-Life
22399,Nude
22404,Still-Life
22406,Still-Life
22419,Gardens
27089,Marine Art/Maritime
199079,Marine Art/Maritime
27091,Marine Art/Maritime
207626,Marine Art/Maritime
27093,Marine Art/Maritime
27095,Marine Art/Maritime
27097,Marine Art/Maritime
26300,Architectures
26302,Architectures
26304,Architectures
26306,Architectures
26310,Architectures
26308,Architectures
26314,Architectures
26312,Architectures
26316,Architectures
26318,Architectures
26320,Architectures
26320,Rivers/Lakes
26322,Architectures
26322,Rivers/Lakes
26324,Architectures
26326,Architectures
26328,Architectures
26330,Architectures
26334,Architectures
26332,Architectures
26336,Architectures
26340,Architectures
26342,Architectures
26344,Architectures
26344,Rivers/Lakes
26348,Architectures
26346,Architectures
28671,Landscape Art
28671,Rivers/Lakes
123601,Flowers
5802,Horses
5810,Jesus Christ
5894,Dogs
206729,Christianity
29602,Christianity
29602,Jesus Christ
149189,Christianity
29606,Christianity
29604,Christianity
149279,Christianity
29610,Christianity
149133,Christianity
23057,Nude
198824,Summer
204291,Nude
23087,Musics
23105,Churches/Temples/Mosques
23105,Rivers/Lakes
23107,Bridges
23107,Rivers/Lakes
23109,Nude
26272,Portraits
26276,Portraits
26278,Portraits
26280,Portraits
26290,Portraits
26298,Lovers
26298,Nude
25575,Dogs
25585,Musics
25585,Portraits
204830,Portraits
188327,Christianity
26599,Musics
26603,Musics
26631,Portraits
26633,Portraits
26639,Portraits
198607,Portraits
26641,Portraits
26643,Portraits
26645,Portraits
26647,Portraits
160763,Landscape Art
160412,Landscape Art
160783,Landscape Art
22491,Deers
22496,Horses
22497,Horses
22503,Nude
29122,Portraits
29149,Winter
204515,Landscape Art
204533,Landscape Art
204524,Landscape Art
168868,Landscape Art
22752,Horses
19233,Nude
19235,Nude
19243,Nude
19243,Summer
204167,Portraits
160444,Christianity
160428,Christianity
24860,Rivers/Lakes
207471,Landscape Art
207471,Winter
26818,Autumn/Fall
26822,Landscape Art
207481,Landscape Art
26824,Spring
207489,Landscape Art
207513,Landscape Art
122236,Portraits
122236,U.S. Presidents
20760,Portraits
20764,Portraits
20770,Portraits
20772,Portraits
20774,Portraits
199739,Portraits
21569,Deers
21569,Dogs
21581,Horses
17714,Winter
23259,Gardens
23269,Musics
23269,Still-Life
26984,Christianity
26986,Christianity
26988,Christianity
26992,Musics
121340,Flowers
121362,Flowers
121373,Flowers
30052,Dancers
30210,Rivers/Lakes
195388,Rivers/Lakes
30230,Nude
30256,Rivers/Lakes
30258,Rivers/Lakes
30260,Rivers/Lakes
21335,Dogs
21345,Musics
21359,Horses
206136,Portraits
21369,Portraits
21371,Portraits
26539,Christianity
26539,Jesus Christ
26541,Christianity
26541,Jesus Christ
167737,Christianity
167737,Jesus Christ
26545,Musics
26547,Christianity
199763,Jesus Christ
193498,Architectures
193512,Architectures
193566,Architectures
193575,Architectures
193557,Architectures
198656,Architectures
193505,Architectures
193519,Architectures
193489,Bridges
25788,Lovers
25790,Portraits
25794,Portraits
25796,Portraits
30094,Abstract/Modern Art
30096,Abstract/Modern Art
7341,Portraits
7343,Portraits
7345,Portraits
7347,Portraits
7349,Portraits
206452,Portraits
7351,Portraits
7355,Portraits
7357,Portraits
7359,Portraits
7361,Portraits
7365,Portraits
7367,Portraits
7369,Portraits
7371,Portraits
7373,Portraits
7379,Portraits
7381,Portraits
206465,Portraits
7385,Portraits
7395,Portraits
7395,U.S. Presidents
7387,Portraits
7387,U.S. Presidents
30114,Abstract/Modern Art
30114,Still-Life
30118,Abstract/Modern Art
30118,Still-Life
